N,카테고리,내용,링크
0,[오늘의 날짜],2021년 05월 16일 (Sun)
1,[오늘의 날씨],"현재 20℃  (최저 20˚/ 최고 21˚)
비, 어제보다 2˚ 낮아요
오전 강수확률 70% / 오후 강수확률 70%
미세먼지 20㎍/㎥좋음
초미세먼지 14㎍/㎥좋음"
2,[오늘의 영어 회화],"Rob: How are we doing? Have a lot of people registered for the seminar?
Danielle: We have two hundred people so far, and we’re getting a lot of callers who want to know more about the seminar.
Rob: We’re going to need more chairs. I’d better call the center.
Danielle: I did that already, Rob.
"
3,[오늘의 영어 회화],"Rob: 일은 잘 진행되어가나요? 이번 세미나에 많은 사람들이 등록했나요?
Danielle: 지금까지 200명 이상이 등록했어요, 그리고 세미나에 대해서 좀 더 알고 싶어 하는 문의자들이 점점 늘어나고 있고요.
Rob: 그럼 의자가 좀 더 필요할 거예요. 회의장에 전화를 해야겠네요.
Danielle: 제가 벌써 했어요, Rob.
"
4,[국내 정치 헤드라인 뉴스],"1. '당심과 민심 사이'…나경원, 출마 고민 길어지는 이유","https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002493373
"
5,[국내 정치 헤드라인 뉴스],"2. [국정농담] 이재용, 반도체 여론만 밀면 8·15 특사 될 수 있나","https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=011&aid=0003910562
"
6,[국내 정치 헤드라인 뉴스],3. 5월 국회 안갯속...김오수 청문회 '뇌관' 될 듯,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001588626
"
7,[국내 정치 헤드라인 뉴스],"4. '쿼드' 참여 기류 바뀌나...전문가 ""사안별 협력 필요""","https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001588613
"
8,[국내 정치 헤드라인 뉴스],"5. ""술 취해 병사 뺨 때린 해군 간부""…해군 ""수사 중""","https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=421&aid=0005353058
"
9,[국내 경제 헤드라인 뉴스],1. '반도체 가뭄 현실화' 현대·기아 휴업...'첩첩산중' 노사,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=052&aid=0001588619
"
